Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,,0.2[G],1.4[G],"60.0[R]
60.0[G]",,7.4[R],2.0[R]
Moon,15.3[G],,60.0[G],24.2[R],60.0[G],60.0[R],60.0[R]
Mars,19.1[G],60.0[B],,32.4[B],60.0[G],42.6[B],53.3[R]
Mercury,60.0[B],4.6[G],5.8[R],,2.5[R],2.9[G],
Jupiter,13.0[G],60.0[G],60.0[G],19.9[B],,50.4[B],45.0[B]
Venus,,22.5[B],23.7[B],,20.4[R],,60.0[G]
Saturn,,55.7[B],53.3[B],,59.9[B],60.0[R],
+,47.4[K],64.8[K],175.5[K],-24.2[K],97.2[K],-124.5[K],-55.3[K]
