Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,450.6[K],"1.3[G]
+384.7[G]","10.2[G]
+464.8[G]","450.6[R]
450.6[G]
187.8[R]
+1089.1[G]",,"55.3[R]
420.9[R]","14.9[R]
329.6[R]"
Moon,"98.0[G]
+548.7[G]",383.5[K],"383.5[G]
+838.1[G]","154.9[R]
483.5[R]","383.5[G]
+849.7[G]","383.5[R]
92.8[R]","383.5[R]
-39.0[R]"
Mars,"144.5[G]
+595.2[G]","454.6[B]
383.5[B]",454.6*2[K],"245.7[B]
638.5[B]","454.6[G]
+920.8[G]","322.4[B]
476.2[B]","404.0[R]
-59.5[R]"
Mercury,"638.5[B]
450.6[B]","49.2[G]
+432.6[G]","61.8[R]
392.8[R]",638.5[K],"26.1[R]
440.1[R]","31.0[G]
+507.2[G]",
Jupiter,"101.0[G]
+551.7[G]","466.2[G]
+849.7[G]","466.2[G]
+920.8[G]","154.7[B]
638.5[B]",466.2[K],"391.4[B]
476.2[B]","349.4[B]
344.5[B]"
Venus,,"178.9[B]
383.5[B]","188.3[B]
454.6[B]",,"161.6[R]
304.6[R]",476.2[K],"476.2[G]
+820.7[G]"
Saturn,,"319.8[B]
383.5[B]","306.1[B]
454.6[B]",,"344.1[B]
466.2[B]","344.5[R]
131.7[R]",344.5[K]
Total,794.2,900.1,1252.7,483.5,1116.6,-276.1,18.3
