Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,"47.1[G]
34.2[K]
12.9[R]","0.1[G]
+28.2[G]","1.1[G]
+39.1[G]","12.9[R] 47.1[G]
32.7[R]+92.7[G]",,"1.6[R]
26.3[R]","0.4[R]
15.9[R]"
Moon,"7.2[G]
+54.3[G]","28.1[G]
-3.8[K]
31.9[R]","28.1[G]
+66.1[G]","12.9[R]
32.7[R]","28.1[G]
+55.9[G]","31.9[R]
-4.0[R]","31.9[R]
-15.6[R]"
Mars,"12.1[G]
+59.2[G]","38.0[B]
28.1[B]","38.0[G]
16.1*2[K]
22.0[R]","20.6[B]
45.6[B]","38.0[G]
+65.8[G]","27.0[B]
27.9[B]","19.5[R]
-3.2[R]"
Mercury,"45.6[B]
+47.1[B]","3.5[G]
+31.6[G]","1.4[R]
36.6[R]","45.6[G]
31.1[K]
14.4[R]","0.6[R]
27.2[R]","2.2[G]
+30.1[G]",
Jupiter,"6.0[G]
+53.1[G]","27.8[G]
+55.9[G]","27.8[G]
+65.8[G]","9.2[B]
45.6[B]","27.8[G]
-4.5[K]
32.2[R]","23.3[B]
27.9[B]","20.8[B]
16.3[B]"
Venus,,"10.5[B]
28.1[B]","11.0[B]
38.0[B]",,"10.9[R]
16.9[R]","27.9[G]
-4.3[K]
32.1[R]","27.9[G]
+44.2[G]"
Saturn,,"15.2[B]
28.1[B]","14.5[B]
38.0[B]",,"16.3[B]
27.8[B]","43.7[R]
-15.8[R]","16.3[G]
-27.3[K]
43.7[R]"
+,72.4[K],59.5[K],93.6[K],66.9[K],82.4[K],-47.1[K],-7.7[K]
