,1,2,3,4,5,6,7,8,9,10,11,12
Sun,8,30,37,15,31,52,37,22,7,,,
Moon,37,14,32,52,37,22,7,,,,8,31
Mars,42,12,36,60,42,21,6,,,,9,42
Mercury,3,22,42,23,13,57,42,27,12,,,
Jupiter,51,37,23,54,51,43,9,,,,6,26
Venus,,,16,45,29,1,60,45,30,15,,
Saturn,,23,54,39,18,23,54,39,42,37,,
+,54,59,80,122,93,101,111,71,41,15,6,26
-,87,79,160,166,128,118,105,62,49,37,17,73
