Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,"57.8[G]
55.6[K]
2.2[R]","0.2[G]
+20.3[G]","1.3[G]
+28.5[G]","2.2[R] 57.8[G]
54.0[R] -114.[G]",,"0.3[R]
34.8[R]","0.1[R]
11.9[R]"
Moon,"5.1[G]
+62.9[G]","20.1[G]
-19.8[K]
39.9[R]","20.1[G]
+47.3[G]","16.1[R]
40.1[R]","20.1[G]
+40.0[G]","39.9[R]
-4.8[R]","39.9[R]
-27.9[R]"
Mars,"8.7[G]
+66.4[G]","27.2[B]
20.1[B]","27.2[G]
-5.6*2[K]
32.8[R]","14.7[B]
56.2[B]","27.2[G]
+47.1[G]","19.3[B]
35.1[B]","29.1[R]
-17.2[R]"
Mercury,"56.2[B]
+57.8[B]","4.3[G]
+24.4[G]","0.4[R]
26.9[R]","56.2[G]
52.4[K]
3.8[R]","0.2[R]
19.7[R]","2.7[G]
+37.8[G]",
Jupiter,"4.3[G]
+62.1[G]","19.9[G]
+40.0[G]","19.9[G]
+47.1[G]","6.6[B]
56.2[B]","19.9[G]
-20.2[K]
40.1[R]","16.7[B]
35.1[B]","14.9[B]
12.0[B]"
Venus,,"13.2[B]
20.1[B]","13.9[B]
27.2[B]",,"8.5[R]
11.5[R]","35.1[G]
10.2[K]
24.9[R]","35.1[G]
+47.1[G]"
Saturn,,"11.1[B]
20.1[B]","10.6[B]
27.2[B]",,"12.0[B]
19.9[B]","48.0[R]
-12.9[R]","12.0[G]
-36.1[K]
48.0[R]"
+,75.9[K],44.5[K],68.2[K],95.7[K],58.6[K],-50.4[K],-22.0[K]
