Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,450.6,1.3,10.2,450.6,0,55.3,14.9
Moon,98.0,383.5,383.5,154.9,383.5,383.5,383.5
Mars,144.5,454.6,454.6*2,245.7,454.6,322.4,404.0
Mercury,638.5,49.2,61.8,638.5,26.1,31.0,0
Jupiter,101.0,466.2,466.2,154.7,466.2,391.4,349.4
Venus,0,178.9,188.3,0,161.6,476.2,476.2
Saturn,0,319.8,306.1,0,344.1,344.5,344.5
Total,794.2,900.1,1252.7,483.5,1116.6,-276.1,18.3
