Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,"48.3[G]
36.6[K]
11.7[R]","0.1[G]
+36.9[G]","1.1[G]
+32.6[G]","11.7[R]
48.3[G]
32.7[R]
+92.7[G]",,"1.4[R]
25.9[R]","0.4[R]
20.2[R]"
Moon,"9.4[G]
+57.7[G]","36.7[G]
13.5[K]
23.3[R]","36.7[G]
+68.2[G]","9.4[R]
34.9[R]","36.7[G]
+63.8[G]","23.3[R]
4.1[R]","23.3[R]
-2.7[R]"
Mars,"10.0[G]
+58.3[G]","31.5[B]
+36.7[B]","31.5[G]
3.0*2[K]
28.5[R]","17.0[B]
44.3[B]","31.5[G]
+58.5[G]","22.3[B]
27.4[B]","25.3[R]
-4.8[R]"
Mercury,"44.3[B]
+48.3[B]","3.4[G]
+40.2[G]","1.5[R]
30.0[R]","44.3[G]
28.7[K]
15.7[R]","0.6[R]
26.4[R]","2.2[G]
+29.5[G]",
Jupiter,"5.9[G]
+54.2[G]","27.0[G]
+63.8[G]","27.0[G]
+58.5[G]","9.0[B]
44.3[B]","27.0[G]
-6.0[K]
33.0[R]","22.7[B]
27.4[B]","20.3[B]
20.5[B]"
Venus,,"10.3[B]
36.7[B]","10.8[B]
31.5[B]",,"11.1[R]
15.9[R]","27.4[G]
-5.3[K]
32.6[R]","27.4[G]
+47.9[G]"
Saturn,,"19.1[B]
36.7[B]","18.3[B]
31.5[B]",,"20.5[B]
27.0[B]","39.5[R]
-12.1[R]","20.5[G]
-18.9[K]
39.5[R]"
+,73.6[K],67.3[K],94.8[K],71.6[K],83.5[K],-34.6[K],-1.1[K]
