Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,"38.9[G]
17.7[K]
21.1[R]","0.1[G]
+53.5[G]","0.9[G]
+36.6[G]","21.1[R]
38.9[G]
11.3[R]
+71.3[G]","","2.6[R]
17.0[R]","0.7[R]
28.4[R]"
Moon,"13.6[G]
+52.5[G]","53.4[G]
46.7[K]
6.6[R]","53.4[G]
+89.1[G]","2.7[R]
29.8[R]","53.4[G]
+87.5[G]","6.6[R]
13.0[R]","6.6[R]
22.5[R]"
Mars,"11.4[G]
+50.2[G]","35.8[B]
+53.4[B]","35.8[G]
11.5*2[K]
24.2[R]","19.3[B]
32.4[B]","35.8[G]
+69.9[G]","25.4[B]
19.6[B]","21.5[R]
7.6[R]"
Mercury,"32.4[B]
+38.9[B]","2.5[G]
+55.9[G]","2.7[R]
33.1[R]","32.4[G]
4.9[K]
27.6[R]","1.1[R]
33.0[R]","1.6[G]
+21.2[G]",""
Jupiter,"7.4[G]
+46.3[G]","34.1[G]
+87.5[G]","34.1[G]
+69.9[G]","11.3[B]
32.4[B]","34.1[G]
8.3[K]
25.9[R]","28.7[B]
19.6[B]","25.6[B]
29.1[B]"
Venus,"","7.4[B]
53.4[B]","7.8[B]
35.8[B]","","13.7[R]
20.4[R]","19.6[G]
-20.8[K]
40.4[R]","19.6[G]
+48.7[G]"
Saturn,"","27.0[B]
53.4[B]","25.9[B]
35.8[B]","","29.1[B]
34.1[B]","30.9[R]
-11.3[R]","29.1[G]
-1.7[K]
30.9[R]"
+,71.3[K],90.1[K],121.5[K],47.5[K],108.4[K],-18.9[K],19.9[K]
