Varga,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
1,E,E,MT,OH,N,N,N
2,E,E,OH,F,N,N,OH
3,DB,GF,GF,F,GF,EX,N
4,E,OH,DB,F,N,F,OH
7,E,OH,N,F,GF,N,N
9,N,OH,DB,F,N,EX,F
10,DB,GF,DB,F,N,GF,EX
12,GF,GF,GF,F,N,GF,OH
16,GF,F,N,F,DB,N,OH
20,EX,E,OH,GF,OH,OH,F
24,E,GF,OH,F,N,DB,GF
27,DB,E,EX,OH,EX,N,DB
30,N,EX,F,F,N,N,F
40,E,GF,N,OH,OH,F,GF
45,MT,E,GF,EX,N,MT,GF
60,OH,GF,EX,F,F,EX,N
