Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,"6.8[G]
-46.5[K]
53.3[R]","0.0[G]
+22.0[G]","0.2[G]
+23.5[G]","53.3[R]
6.8[G]
-34.5[R]
+25.5[G]","","6.5[R]
16.2[R]","1.8[R]
13.5[R]"
Moon,"5.6[G]
+12.4[G]","22.0[G]
-16.0[K]
38.0[R]","22.0[G]
+45.4[G]","15.4[R]
3.4[R]","22.0[G]
+33.5[G]","38.0[R]
-15.3[R]","38.0[R]
-22.8[R]"
Mars,"7.4[G]
+14.2[G]","23.4[B]
22.0[B]","23.4[G]
-13.3*2[K]
36.6[R]","12.6[B]
18.8[B]","23.4[G]
+34.9[G]","16.6[B]
22.8[B]","32.5[R]
-17.3[R]"
Mercury,"18.8[B]
6.8[B]","1.4[G]
+23.4[G]","4.0[R]
19.4[R]","18.8[G]
-22.5[K]
41.3[R]","1.7[R]
9.8[R]","0.9[G]
+23.7[G]",""
Jupiter,"2.5[G]
+9.2[G]","11.5[G]
+33.5[G]","11.5[G]
+34.9[G]","3.8[B]
18.8[B]","11.5[G]
-37.0[K]
48.5[R]","9.7[B]
22.8[B]","8.6[B]
15.3[B]"
Venus,"","8.5[B]
22.0[B]","9.0[B]
23.4[B]","","12.6[R]
-1.1[R]","22.8[G]
-14.5[K]
37.3[R]","22.8[G]
+38.0[G]"
Saturn,"","14.2[B]
22.0[B]","13.6[B]
23.4[B]","","15.2[B]
11.5[B]","44.8[R]
-22.0[R]","15.3[G]
-29.5[K]
44.8[R]"
+,22.3[K],35.0[K],53.0[K],-43.1[K],42.5[K],-65.6[K],-34.3[K]
