Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,11.5[K],0.1[G],1.0[G],60.0[R] 49.0[G],,,
Moon,8.8[G],14.9[K],42.1[G],4.5[R],34.0[G],15.3[R],18.8[R]
Mars,11.0[G],,14.1*2[K],,34.0[G],,16.7[R]
Mercury,,3.4[G],1.7[R],16.3[K],1.1[R],2.2[G],
Jupiter,7.5[G],44.7[G],42.1[G],,11.3[K],,
Venus,,,,,8.8[R],14.9[K],41.2[G]
Saturn,,,,,,15.3[R],13.7[K]
+,27.3[K],48.3[K],97.6[K],-15.5[K],92.3[K],-15.3[K],5.6[K]
