Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,9.1[K],0.1[G],1.1[G],48.8[G],,,
Moon,7.0[G],14.7[K],47.3[G],4.5[R],34.8[G],16.3[R],16.9[R]
Mars,8.7[G],,15.8*2[K],,34.8[G],,15.0[R]
Mercury,,3.4[G],1.2[R],16.3[K],1.0[R],2.1[G],
Jupiter,5.9[G],44.1[G],47.3[G],,11.6[K],,
Venus,,,,,8.6[R],14.6[K],43.1[G]
Saturn,,,,,,16.3[R],14.4[K]
+,21.6[K],47.6[K],110.1[K],44.2[K],94.8[K],-16.3[K],11.3[K]
