Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,11.3[K],0.1[G],1.0[G],47.3[G],,,2.0[R]
Moon,8.7[G],15.8[K],44.5[G],5.2[R],35.1[G],14.4[R],18.8[R]
Mars,10.8[G],,14.8*2[K],,35.1[G],,16.7[R]
Mercury,,3.6[G],1.5[R],15.8[K],1.0[R],2.2[G],
Jupiter,7.3[G],47.3[G],44.5[G],,11.7[K],,
Venus,,,,,8.5[R],15.2[K],41.3[G]
Saturn,,,,,,14.4[R],13.8[K]
+,26.8[K],51.0[K],103.3[K],42.1[K],95.8[K],-14.4[K],3.9[K]
