Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,7.6[K],0.1[G],1.0[G],49.5[G],,,
Moon,5.8[G],14.2[K],42.5[G],4.2[R],34.8[G],14.1[R],19.5[R]
Mars,7.2[G],,14.2*2[K],,34.8[G],,17.3[R]
Mercury,,3.3[G],1.7[R],16.5[K],1.0[R],2.2[G],
Jupiter,4.9[G],42.6[G],42.5[G],,11.6[K],,
Venus,,,,,8.6[R],15.3[K],40.5[G]
Saturn,,,,,,14.1[R],13.5[K]
+,18.0[K],46.0[K],98.3[K],45.3[K],94.8[K],-14.1[K],3.7[K]
