Varga,Varga_Name,Node,Modifying_Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
D7,Saptamsa,Rahu,Jupiter,8.8[G],11.3[G],44.6[G],,0.0[K],,
D7,Saptamsa,Rahu,Venus,,,,,3.8[R],0.4[K],4.6[G]
D7,Saptamsa,Rahu,Saturn,,,,,,7.4[R],10.4[K]
D7,Saptamsa,Ketu,Sun,12.2[K],6.1[G],7.5[G],66.6[G],7.5[G],,
D7,Saptamsa,Ketu,Moon,12.5[G],6.1[K],7.6[G],27.0[R],0.1[G],,
D7,Saptamsa,Ketu,Mars,20.6[G],,14.7[K],,3.8[G],,
D7,Saptamsa,Ketu,Mercury,,5.7[G],7.3[R],31.3[K],0.0[R],,
D7,Saptamsa,Ketu,Jupiter,15.2[G],2.8[G],11.3[G],,0.0[K],,
D7,Saptamsa,Ketu,Venus,,,,,0.5[R],,
D7,Saptamsa,Ketu,Saturn,,,,,,,
D9,Navamsa,Rahu,Sun,5.9[K],23.7[G],26.4[G],19.3[G],58.3[G],,
D9,Navamsa,Rahu,Moon,6.1[G],23.8[K],27.0[G],7.9[R],1.1[G],6.6[R],14.9[R]
D9,Navamsa,Rahu,Mars,10.0[G],,52.0[K],,28.9[G],,10.0[R]
D9,Navamsa,Rahu,Mercury,,22.1[G],25.8[R],9.1[K],0.1[R],0.4[G],0.2[G]
D9,Navamsa,Rahu,Jupiter,7.4[G],10.9[G],40.1[G],,0.0[K],,
D9,Navamsa,Rahu,Venus,,,,,3.8[R],0.4[K],4.3[G]
D9,Navamsa,Rahu,Saturn,,,,,,6.5[R],9.8[K]
D9,Navamsa,Ketu,Sun,10.2[K],5.8[G],6.7[G],67.7[G],7.6[G],,
D9,Navamsa,Ketu,Moon,10.4[G],5.9[K],6.8[G],27.7[R],0.1[G],,
D9,Navamsa,Ketu,Mars,17.2[G],,13.2[K],,3.8[G],,
D9,Navamsa,Ketu,Mercury,,5.5[G],6.5[R],31.8[K],0.0[R],,
D9,Navamsa,Ketu,Jupiter,12.7[G],2.7[G],10.2[G],,0.0[K],,
D9,Navamsa,Ketu,Venus,,,,,0.5[R],,
D9,Navamsa,Ketu,Saturn,,,,,,,
D10,Dasamsa,Rahu,Sun,8.8[K],26.3[G],27.7[G],18.4[G],55.7[G],,14.6[R]
D10,Dasamsa,Rahu,Moon,9.0[G],26.4[K],28.3[G],7.3[R],1.1[G],6.7[R],14.9[R]
D10,Dasamsa,Rahu,Mars,14.9[G],,54.4[K],,29.1[G],,10.1[R]
D10,Dasamsa,Rahu,Mercury,,24.6[G],27.0[R],8.7[K],0.1[R],0.4[G],0.2[G]
D10,Dasamsa,Rahu,Jupiter,11.0[G],12.1[G],42.0[G],,0.0[K],,
D10,Dasamsa,Rahu,Venus,,,,,3.7[R],0.4[K],4.4[G]
D10,Dasamsa,Rahu,Saturn,,,,,,6.6[R],10.0[K]
D10,Dasamsa,Ketu,Sun,15.2[K],6.5[G],7.0[G],64.6[G],7.2[G],,
