Varga,Varga_Name,Giver,Receiver,Is_Diagonal,Raw_Text,Value_1,Color_1,Value_2,Color_2,Vimsho_Score,Net_Modifier
D2,Hora,Jupiter,Sun,False,4.9[G],4.9,G,,,,18.0
D2,Hora,Jupiter,Moon,False,42.6[G],42.6,G,,,,46.0
D2,Hora,Jupiter,Mars,False,42.5[G],42.5,G,,,,98.3
D2,Hora,Jupiter,Mercury,False,,,,,,,-14.7
D2,Hora,Jupiter,Jupiter,True,11.6,11.6,K,,,11.6,94.8
D2,Hora,Jupiter,Venus,False,,,,,,,-14.1
D2,Hora,Jupiter,Saturn,False,,,,,,,3.7
D2,Hora,Venus,Sun,False,,,,,,,18.0
D2,Hora,Venus,Moon,False,,,,,,,46.0
D2,Hora,Venus,Mars,False,,,,,,,98.3
D2,Hora,Venus,Mercury,False,,,,,,,-14.7
D2,Hora,Venus,Jupiter,False,8.6[R],8.6,R,,,,94.8
D2,Hora,Venus,Venus,True,15.3,15.3,K,,,15.3,-14.1
D2,Hora,Venus,Saturn,False,40.5[G],40.5,G,,,,3.7
D2,Hora,Saturn,Sun,False,,,,,,,18.0
D2,Hora,Saturn,Moon,False,,,,,,,46.0
D2,Hora,Saturn,Mars,False,,,,,,,98.3
D2,Hora,Saturn,Mercury,False,,,,,,,-14.7
D2,Hora,Saturn,Jupiter,False,,,,,,,94.8
D2,Hora,Saturn,Venus,False,14.1[R],14.1,R,,,,-14.1
D2,Hora,Saturn,Saturn,True,13.5,13.5,K,,,13.5,3.7
D3,Drekkana,Sun,Sun,True,7.6,7.6,K,,,7.6,18.0
D3,Drekkana,Sun,Moon,False,0.1[G],0.1,G,,,,46.0
D3,Drekkana,Sun,Mars,False,1.0[G],1.0,G,,,,98.3
D3,Drekkana,Sun,Mercury,False,49.5[G],49.5,G,,,,45.3
D3,Drekkana,Sun,Jupiter,False,,,,,,,94.8
D3,Drekkana,Sun,Venus,False,,,,,,,-14.1
D3,Drekkana,Sun,Saturn,False,,,,,,,3.7
D3,Drekkana,Moon,Sun,False,5.8[G],5.8,G,,,,18.0
D3,Drekkana,Moon,Moon,True,14.2,14.2,K,,,14.2,46.0
D3,Drekkana,Moon,Mars,False,42.5[G],42.5,G,,,,98.3
D3,Drekkana,Moon,Mercury,False,4.2[R],4.2,R,,,,45.3
D3,Drekkana,Moon,Jupiter,False,34.8[G],34.8,G,,,,94.8
D3,Drekkana,Moon,Venus,False,14.1[R],14.1,R,,,,-14.1
D3,Drekkana,Moon,Saturn,False,19.5[R],19.5,R,,,,3.7
D3,Drekkana,Mars,Sun,False,7.2[G],7.2,G,,,,18.0
D3,Drekkana,Mars,Moon,False,,,,,,,46.0
D3,Drekkana,Mars,Mars,True,14.2*2,14.2,K,,,14.2*2,98.3
D3,Drekkana,Mars,Mercury,False,,,,,,,45.3
D3,Drekkana,Mars,Jupiter,False,34.8[G],34.8,G,,,,94.8
D3,Drekkana,Mars,Venus,False,,,,,,,-14.1
D3,Drekkana,Mars,Saturn,False,17.3[R],17.3,R,,,,3.7
D3,Drekkana,Mercury,Sun,False,,,,,,,18.0
D3,Drekkana,Mercury,Moon,False,3.3[G],3.3,G,,,,46.0
D3,Drekkana,Mercury,Mars,False,1.7[R],1.7,R,,,,98.3
D3,Drekkana,Mercury,Mercury,True,16.5,16.5,K,,,16.5,45.3
D3,Drekkana,Mercury,Jupiter,False,1.0[R],1.0,R,,,,94.8
D3,Drekkana,Mercury,Venus,False,2.2[G],2.2,G,,,,-14.1
D3,Drekkana,Mercury,Saturn,False,,,,,,,3.7
D3,Drekkana,Jupiter,Sun,False,4.9[G],4.9,G,,,,18.0
D3,Drekkana,Jupiter,Moon,False,42.6[G],42.6,G,,,,46.0
D3,Drekkana,Jupiter,Mars,False,42.5[G],42.5,G,,,,98.3
D3,Drekkana,Jupiter,Mercury,False,,,,,,,45.3
D3,Drekkana,Jupiter,Jupiter,True,11.6,11.6,K,,,11.6,94.8
D3,Drekkana,Jupiter,Venus,False,,,,,,,-14.1
D3,Drekkana,Jupiter,Saturn,False,,,,,,,3.7
D3,Drekkana,Venus,Sun,False,,,,,,,18.0
D3,Drekkana,Venus,Moon,False,,,,,,,46.0
D3,Drekkana,Venus,Mars,False,,,,,,,98.3
D3,Drekkana,Venus,Mercury,False,,,,,,,45.3
D3,Drekkana,Venus,Jupiter,False,8.6[R],8.6,R,,,,94.8
D3,Drekkana,Venus,Venus,True,15.3,15.3,K,,,15.3,-14.1
D3,Drekkana,Venus,Saturn,False,40.5[G],40.5,G,,,,3.7
D3,Drekkana,Saturn,Sun,False,,,,,,,18.0
D3,Drekkana,Saturn,Moon,False,,,,,,,46.0
D3,Drekkana,Saturn,Mars,False,,,,,,,98.3
D3,Drekkana,Saturn,Mercury,False,,,,,,,45.3
D3,Drekkana,Saturn,Jupiter,False,,,,,,,94.8
D3,Drekkana,Saturn,Venus,False,14.1[R],14.1,R,,,,-14.1
D3,Drekkana,Saturn,Saturn,True,13.5,13.5,K,,,13.5,3.7
D4,Chaturthamsa,Sun,Sun,True,11.5,11.5,K,,,11.5,27.3
D4,Chaturthamsa,Sun,Moon,False,0.1[G],0.1,G,,,,48.3
D4,Chaturthamsa,Sun,Mars,False,1.0[G],1.0,G,,,,97.6
D4,Chaturthamsa,Sun,Mercury,False,60.0[R] 49.0[G],60.0,R,49.0,G,,-15.5
D4,Chaturthamsa,Sun,Jupiter,False,,,,,,,92.3
D4,Chaturthamsa,Sun,Venus,False,,,,,,,-15.3
D4,Chaturthamsa,Sun,Saturn,False,,,,,,,5.6
D4,Chaturthamsa,Moon,Sun,False,8.8[G],8.8,G,,,,27.3
D4,Chaturthamsa,Moon,Moon,True,14.9,14.9,K,,,14.9,48.3
D4,Chaturthamsa,Moon,Mars,False,42.1[G],42.1,G,,,,97.6
D4,Chaturthamsa,Moon,Mercury,False,4.5[R],4.5,R,,,,-15.5
D4,Chaturthamsa,Moon,Jupiter,False,34.0[G],34.0,G,,,,92.3
D4,Chaturthamsa,Moon,Venus,False,15.3[R],15.3,R,,,,-15.3
D4,Chaturthamsa,Moon,Saturn,False,18.8[R],18.8,R,,,,5.6
D4,Chaturthamsa,Mars,Sun,False,11.0[G],11.0,G,,,,27.3
D4,Chaturthamsa,Mars,Moon,False,,,,,,,48.3
D4,Chaturthamsa,Mars,Mars,True,14.1*2,14.1,K,,,14.1*2,97.6
D4,Chaturthamsa,Mars,Mercury,False,,,,,,,-15.5
D4,Chaturthamsa,Mars,Jupiter,False,34.0[G],34.0,G,,,,92.3
D4,Chaturthamsa,Mars,Venus,False,,,,,,,-15.3
D4,Chaturthamsa,Mars,Saturn,False,16.7[R],16.7,R,,,,5.6
