Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,254.6[K],"0.8[G]
+302.8[G]","7.5[G]
+344.4[G]","371.8[G]
+874.6[G]",,,"15.0[R]
221.8[R]"
Moon,"55.6[G]
+310.2[G]",302.0[K],"284.4[G]
+621.3[G]","33.2[R]
469.6[R]","224.3[G]
+497.0[G]","92.0[R]
269.9[R]","120.2[R]
116.6[R]"
Mars,"81.8[G]
+336.4[G]",,337.0*2[K],,"265.9[G]
+538.6[G]",,"126.5[R]
110.3[R]"
Mercury,,"38.3[G]
+340.3[G]","16.0[R]
320.9[R]",502.8[K],"10.6[R]
262.1[R]","23.4[G]
+385.3[G]",
Jupiter,"56.7[G]
+311.3[G]","367.5[G]
+669.5[G]","345.8[G]
+682.7[G]",,272.7[K],,
Venus,,,,,"67.5[R]
205.2[R]",361.9[K],"327.8[G]
+564.6[G]"
Saturn,,,,,,"82.7[R]
279.2[R]",236.8[K]
Total,448.7,708.8,953.4,824.8,951.1,210.8,303.3
