Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,171.2[K],"0.8[G]
+273.1[G]","7.5[G]
+329.1[G]","371.8[G]
+898.6[G]",,,
Moon,"37.1[G]
+208.3[G]",272.3[K],"271.6[G]
+593.2[G]","26.8[R]
500.0[R]","222.4[G]
+492.8[G]","90.1[R]
274.2[R]","124.6[R]
107.9[R]"
Mars,"54.6[G]
+225.8[G]",,321.6*2[K],,"263.7[G]
+534.1[G]",,"131.1[R]
101.4[R]"
Mercury,,"35.1[G]
+307.4[G]","18.1[R]
303.5[R]",526.7[K],"10.6[R]
259.8[R]","23.4[G]
+387.7[G]",
Jupiter,"38.1[G]
+209.3[G]","331.0[G]
+603.3[G]","330.2[G]
+651.8[G]",,270.4[K],,
Venus,,,,,"68.3[R]
202.1[R]",364.3[K],"321.4[G]
+553.9[G]"
Saturn,,,,,,"81.0[R]
283.3[R]",232.5[K]
Total,301.8,639.1,911.9,871.4,941.3,217.0,298.0
