Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,205.0[K],"0.8[G]
+282.7[G]","8.3[G]
+366.3[G]","371.8[G]
+890.6[G]",,,
Moon,"44.7[G]
+249.7[G]",291.8[K],"302.3[G]
+660.3[G]","28.8[R]
490.0[R]","222.4[G]
+492.8[G]","104.2[R]
242.2[R]","108.0[R]
139.7[R]"
Mars,"65.9[G]
+270.9[G]",,358.0*2[K],,"263.7[G]
+534.1[G]",,"113.7[R]
134.0[R]"
Mercury,,"36.2[G]
+318.1[G]","12.8[R]
345.2[R]",512.6[K],"10.6[R]
259.8[R]","22.3[G]
+368.7[G]",
Jupiter,"45.8[G]
+250.8[G]","342.7[G]
+624.6[G]","367.5[G]
+725.5[G]",,270.4[K],,
Venus,,,,,"68.3[R]
202.1[R]",346.4[K],"342.1[G]
+589.8[G]"
Saturn,,,,,,"93.6[R]
252.8[R]",241.6[K]
Total,361.4,661.6,1022.0,855.9,941.3,170.6,368.4
