Planet,Sun,Moon,Mars,Mercury,Jupiter,Venus,Saturn
Sun,259.7[K],"0.8[G]
+286.5[G]","7.5[G]
+326.9[G]","450.6[R]
450.6[G]
187.8[R]
+442.2[G]",,,"15.0[R]
221.3[R]"
Moon,"56.2[G]
+316.0[G]",285.7[K],"269.1[G]
+588.5[G]","28.8[R]
492.2[R]","217.3[G]
+481.9[G]","97.8[R]
257.0[R]","120.2[R]
116.1[R]"
Mars,"83.3[G]
+343.1[G]",,319.4*2[K],,"257.6[G]
+522.2[G]",,"126.5[R]
109.8[R]"
Mercury,,"36.2[G]
+321.9[G]","18.1[R]
301.3[R]",521.2[K],"11.7[R]
252.9[R]","23.4[G]
+378.2[G]",
Jupiter,"58.3[G]
+318.1[G]","347.3[G]
+633.0[G]","327.1[G]
+646.5[G]",,264.6[K],,
Venus,,,,,"69.8[R]
194.8[R]",354.8[K],"327.0[G]
+563.3[G]"
Saturn,,,,,,"87.8[R]
267.0[R]",236.4[K]
Total,457.6,670.6,905.0,409.9,917.0,192.3,301.3
